Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
custom-bracelet,Custom bracelet,"<p><em>Designed bead by bead on crystalbasket.store.</em></p><p>A made-to-order 8&nbsp;mm bracelet strung from the stones the customer chose in the builder. The exact bead sequence, wrist size and any gold-filled bead are listed on the order line.</p><p>Natural, undyed stone on 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"custom, build your own",TRUE,Wrist size,S · 16 cm,Stones,Classic,Gold bead,No,CB-CUSTOM-S-C,20,shopify,100,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/hero/hero-2.jpg,1,Custom crystal bracelet,Custom Crystal Bracelet,A bracelet designed bead by bead in the Crystal Basket builder and strung to order in Dubai.,active
custom-bracelet,,,,,,,,Wrist size,S · 16 cm,Stones,Classic,Gold bead,Yes,CB-CUSTOM-S-CG,20,shopify,100,continue,manual,85,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,S · 16 cm,Stones,Select,Gold bead,No,CB-CUSTOM-S-S,20,shopify,100,continue,manual,85,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,S · 16 cm,Stones,Select,Gold bead,Yes,CB-CUSTOM-S-SG,20,shopify,100,continue,manual,95,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,S · 16 cm,Stones,Rare,Gold bead,No,CB-CUSTOM-S-R,20,shopify,100,continue,manual,95,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,S · 16 cm,Stones,Rare,Gold bead,Yes,CB-CUSTOM-S-RG,20,shopify,100,continue,manual,105,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,M · 18 cm,Stones,Classic,Gold bead,No,CB-CUSTOM-M-C,20,shopify,100,continue,manual,75,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,M · 18 cm,Stones,Classic,Gold bead,Yes,CB-CUSTOM-M-CG,20,shopify,100,continue,manual,85,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,M · 18 cm,Stones,Select,Gold bead,No,CB-CUSTOM-M-S,20,shopify,100,continue,manual,85,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,M · 18 cm,Stones,Select,Gold bead,Yes,CB-CUSTOM-M-SG,20,shopify,100,continue,manual,95,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,M · 18 cm,Stones,Rare,Gold bead,No,CB-CUSTOM-M-R,20,shopify,100,continue,manual,95,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,M · 18 cm,Stones,Rare,Gold bead,Yes,CB-CUSTOM-M-RG,20,shopify,100,continue,manual,105,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,L · 20 cm,Stones,Classic,Gold bead,No,CB-CUSTOM-L-C,20,shopify,100,continue,manual,75,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,L · 20 cm,Stones,Classic,Gold bead,Yes,CB-CUSTOM-L-CG,20,shopify,100,continue,manual,85,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,L · 20 cm,Stones,Select,Gold bead,No,CB-CUSTOM-L-S,20,shopify,100,continue,manual,85,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,L · 20 cm,Stones,Select,Gold bead,Yes,CB-CUSTOM-L-SG,20,shopify,100,continue,manual,95,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,L · 20 cm,Stones,Rare,Gold bead,No,CB-CUSTOM-L-R,20,shopify,100,continue,manual,95,TRUE,TRUE,,,,,,
custom-bracelet,,,,,,,,Wrist size,L · 20 cm,Stones,Rare,Gold bead,Yes,CB-CUSTOM-L-RG,20,shopify,100,continue,manual,105,TRUE,TRUE,,,,,,
